"","country","mean_ll","mean_fer","mean_sucide","mean_d_pollut","mean_g"
"54","Ghana",4.74972951412201,4.13529166666667,7.45,4.57532171175086,NA
"55","Greece",5.49657964706421,1.34605,4.43333333333333,4.41955145006496,NA
"56","Guatemala",6.25249895682702,3.25563076923077,6.84615384615385,3.97591178665154,NA
"57","Guinea",4.03048717975616,5.0075875,7.0875,3.88668894505074,NA
"58","Guyana",5.99282646179199,2.7552,30,2.93039311173293,NA
"59","Haiti",3.95419363542037,3.27297272727273,9.88181818181818,3.67119132125441,NA
"60","Honduras",5.35135848705585,2.84256153846154,2.48461538461538,3.61721508374227,NA
"61","Hong Kong S.A.R. of China",5.44056235419379,NA,NA,NA,NA
"62","Hungary",5.12017254395918,1.37091818181818,22.3636363636364,4.51986786328051,NA
"63","Iceland",7.41077629725138,1.89893333333333,13.1666666666667,1.50849408070192,0.254333333333333
"64","India",4.58994104181017,2.48781428571429,13.4285714285714,6.80413817678174,0.392651438240271
"65","Indonesia",5.21853692714985,2.40685384615385,2.57692307692308,5.70357077602243,0.390444444444444
"66","Iran",4.85176142779264,1.92347272727273,NA,5.28842624859373,NA
"67","Iraq",4.64503312110901,4.25286,3.97,5.01336906200692,NA
"68","Ireland",7.05491157372793,1.93228333333333,11.0166666666667,3.24965811972339,NA
"69","Israel",7.21149708674504,3.04901538461538,5.46153846153846,3.91225209878463,NA
"70","Italy",6.25738250292264,1.38292307692308,7.03076923076923,5.16013812597215,0.343083140055339
"71","Ivory Coast",4.4000871862684,NA,NA,NA,NA
"72","Jamaica",5.69830255508423,1.68858,2.04,3.3479528197415,NA
"73","Japan",6.01677120648898,1.38085384615385,21.1538461538462,5.24592576705891,0.255796433333333
"74","Jordan",5.36090535383958,3.49037692307692,1.58461538461538,3.87383238297841,NA
"75","Kazakhstan",5.74246296515832,2.63698461538462,27.4615384615385,4.63396749964638,NA
"76","Kenya",4.3752439388862,4.14174615384615,5.87692307692308,4.27774908713405,NA
"77","Kosovo",5.5580602089564,2.02405833333333,NA,NA,NA
"78","Kuwait",6.29050397872925,2.23532,2.54,3.53461118019146,NA
"79","Kyrgyzstan",5.04719209671021,3.04845384615385,10.3692307692308,3.95372856056019,NA
"80","Laos",4.93522242137364,3.1082,NA,3.55572961604532,NA
"81","Latvia",5.31512482961019,1.56025833333333,21.75,3.69623616178262,NA
"82","Lebanon",5.05518638170682,2.15529230769231,2.83846153846154,4.03250137755765,NA
"83","Lesotho",4.16700681050618,3.2477,78,3.39167300258214,NA
"84","Liberia",3.91323107481003,4.7732125,4.675,3.15345643776562,NA
"85","Libya",5.58884239196777,2.65434,5.52,3.99962112257927,NA
"86","Lithuania",5.76407979084895,1.54986923076923,34.7692307692308,3.76734744433235,NA
"87","Luxembourg",7.01155300140381,1.50183,10.98,2.37077053987076,NA
"88","Macedonia",4.89315488121726,NA,NA,NA,NA
"89","Madagascar",3.94478964805603,4.4166,5.6,3.77109880432247,NA
"90","Malawi",4.07166077873924,4.87028181818182,6.71818181818182,3.56859502741926,NA
"91","Malaysia",5.82882707769221,2.13230909090909,4.62727272727273,4.55421959060904,0.4285
"92","Mali",4.18784924348195,6.47136666666667,4.4,3.93405668412819,NA
"93","Malta",6.38407607078552,1.36539,6.56,2.57010374982169,NA
"94","Mauritania",4.43302281697591,4.92503333333333,3.08333333333333,3.54361239362588,NA
"95","Mauritius",5.75814294815063,1.44014,9.08,3.15543897617344,NA
"96","Mexico",6.77482278530414,2.25853076923077,5.01538461538462,5.17587343327216,NA
"97","Moldova",5.58369332093459,1.71730769230769,NA,3.98694262941007,NA
"98","Mongolia",4.9254429990595,2.75181818181818,20.9090909090909,3.70502831784765,NA
